,Details,Superficie,Adresse,Prix,Image_lien-src
0,TERRAIN A VENDRE A NDIAKHIRATE,150 m²,Ndiakhirate Dakar,12 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f9b7b79d30805402e427d23df7ef497/-/horizon-files-prod/ed/picture/qv4m850m/cdcdb3d0f436a4bc6ebcbc82d8b4e3908523b0e2.jpg
1,TERRAINS A VENDRE,183 m²,Thiès Thiès,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c91d6736f27408824e08f1d3a3050c5/-/horizon-files-prod/ed/picture/qwe257x6/39f483739d219959efe73a6f308329f39b70b9b2.jpg
2,terrains à vendre à Thiès,225 m²,Thiès Thiès,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62b4360ab961de58bec85ff923e8a489/-/horizon-files-prod/ed/picture/q44j0nre/3c7045645a1c2635b24fe41720ec4445621f9ce8.jpg
3,TERRAIN À VENDRE TIVAOUNE PEULH,200 m²,Tivaouane peulh Dakar,35 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e5f7327ea28ab9ed084c22aafe81a56e/-/horizon-files-prod/ed/picture/qzvd92kn/42d8bfb482bfe96f04280d917e6f99a19669d09e.jpg
4,400 hectares vendus au m2 à Lompoul,"4,000,000 m²",Kebemer Louga,600 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f21e475a395787b1bac118adefaf25b1/-/horizon-files-prod/ed/picture/qngx5kzv/31bce0a2124c4a2130f0bf7b143f36d8fd96e44f.jpg
5,Terrain bord de route à vendre à Nguerigne,"3,279 m²",Nguering Thiès,189 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5764c35bd02761e3a2cd50408dcd29ff/-/horizon-files-prod/ed/picture/q6xke88d/ed1f112f3565b2e7c8f8cf423281becee97afdc6.jpg
6,Terrains à vendre à lac rose,300 m²,Lac rose Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/196696ddf3156f8efdfc728c599af26f/-/horizon-files-prod/ed/picture/q78524pz/dc6de9c05ffbaec4a1180f60d3e145735d6eb29f.png
7,terrain à vendre YENNE toubab dialaw,150 m²,Yene Dakar,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c625a7de06c6a3bc21201a137f57dd4/-/horizon-files-prod/ed/picture/q6xke9vn/4239daf58540174d98f143737fcef4fd774c169c.jpg
8,"Terrain à la cité police, SOCABEG Tivaouane Peulh",150 m²,Tivaouane peulh Dakar,13 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/776280cf43da05d1040466b7eb1a9b70/-/horizon-files-prod/ed/picture/q6xk99ed/5cdc0520e4dda50457447b8eacb95d0651dbd29b.png
9,Terrain à vendre au lac rose à un prix imbattable,,Lac Rose Dakar,950 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76797f5bdbe9679312cfb801fae0b372/-/horizon-files-prod/ed/picture/qngxrk20/dec78b6efb4bcda2721a19a3ffaaca39e3c5ccd8.jpg
10,Terrain bien place a vendre a Dakar Kounoune,150 m²,Kounoune Dakar,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a96a2ae7dd7444ef9c086b51ff182c6e/-/horizon-files-prod/ed/picture/qkr8k99v/9fcca52593b145593f63179c11ea2cfbe8cac153.jpg
11,Terrain nu commercial à ouakam,327 m²,Ouakam Dakar,180 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af5740708e4e26fc00a422b3583daa20/-/horizon-files-prod/ed/picture/qgq969mm/577f05b79b874b418f021be99322616f39a26cf6.jpg
12,Terrain à Nguerigne,"1,200 m²",Nguering Thiès,42 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6ea9e92b98f0b795761c0bf03abc1ef/-/horizon-files-prod/ed/picture/qzvdgk66/a30a4922cd8d8261645428bf59bea924dc66e571.jpg
13,Terrain 1 hectare a sebiponty ndoyene,"10,000 m²",Sebikotane Dakar,50 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/266c8c2b1eb626f166e68a2b640131ed/-/horizon-files-prod/ed/picture/q6xk0j78/4250a22cbee33ab9f1d090477f132fe332df1b69.jpg
14,Terrain angle à vendre aux ALMADIES,500 m²,Almadies Dakar,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/23664616cdbe68090009af9b2ed6fca6/-/horizon-files-prod/ed/picture/q785q9gg/0afbf7a9c75a3d733fd6fd99882e1307ee4703c5.jpg
15,Terrains en résidence privée à Nguerigne,790 m²,Nguering Thiès,44 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6af6478141297f62513d7ed0ec3cb5fa/-/horizon-files-prod/ed/picture/qm5g55gr/0951d5b964b39b60e3d76784c70a3fcf72c40678.jpg
16,TERRAINS A VENDRE,"13,739 m²",Rufisque Dakar,90 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/709b3aea1d9bfd5a3d6a3d5e998ccca8/-/horizon-files-prod/ed/picture/qq44e5gv/6d7bcd2afb3bf11c8f53a2228d5eef5673ae62a4.jpg
17,TERRAIN A VENDRE DIASS,225 m²,Diass Thiès,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e7ccad7ab206a39960b98b2ae5937bce/-/horizon-files-prod/ed/picture/qrzvpejx/171d0ea6d94e86e52ddc1d57c651c860f17dd192.jpg
18,TERRAIN À VENDRE KEUR DAOUDA SARR SORTIE 10,150 m²,Rufisque Dakar,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad83cbbae2d39871d8048d2a2a47a07b/-/horizon-files-prod/ed/picture/qgqwqve2/b7ff04e94088612b02c0134e06c3e32f1d1f8c61.jpg
19,Terrain 150m2 Sicap Keur Massar - Titre Foncier,150 m²,Ndiakhirate Dakar,16 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aaf6b4f6c5503df9143c5e43ce212f2b/-/horizon-files-prod/ed/picture/qxjpjkw2/24478dcb5bd9c3a3b6bc6ffdd56fb36393327401.jpg
20,Champs à vendre,"1,000 m²",Bayakh Dakar,60 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b05c9d8e01e30c82fff0f02e0c64f43/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q44n48v4/f8b600e0061e0943f35827113ed38dd637a3dcbf.jpg
21,TERRAIN A VENDRE YENNE NDITAKH,150 m²,Yene Dakar,1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3efbfa8d76cf4de001c30bf9e2ad923d/-/horizon-files-prod/ed/picture/qxjpj95n/12e9b8da9939951bcddccfeba1e6c18651603d82.jpg
22,"Terrain à vendre à Mboro , cité Mariame",200 m²,Mboro Thiès,3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dcbd5b15f1a6b60c45e694d0d41a5f8e/-/horizon-files-prod/ed/picture/qde7wnr4/78c5c3965cae049fbb3999c44e0c61f6aba2d886.jpg
23,Champs de 4ha à Pout,"40,000 m²",Pout Thiès,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/74ded19ffddaba5f09f431d128004e79/-/horizon-files-prod/ed/picture/qweex7v4/28f9feb0055bd47a20e40cd69b6b5b15394a0baa.jpg
24,Terrain lac rose,,Lac Rose Dakar,3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b143626cd61e6eddf07d261fe9c11f3/-/horizon-files-prod/ed/picture/qm5ggme9/cef61984ce1e103685b7df153c9ae2f765548e58.jpg
25,ref_5062 Bambilor-terrain à vendre,"8,500 m²",Bambilor Dakar,220 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eaa7db120f51ea824376333ec703a0c5/-/horizon-files-prod/ed/picture/qkr888zm/c1888b1933ae8a20e3f1a568d6b1488a11833088.png
26,Ref_5063_GL terrain à vendre à Nguekhokh,"2,000 m²",Nguekhokh Thiès,65 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb7e1749d852b86f90f72b9e88635ce4/-/horizon-files-prod/ed/picture/q8v44477/81303c3469ab30e021482db6bdc356002659bbd8.png
27,Ref_5064_JN_Terrain clôturé à vendre à Diamniadio,"10,000 m²",Diamniadio Dakar,400 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db998cd0944747d69faccbc0f430c66d/-/horizon-files-prod/ed/picture/qm5ggwdm/9031283232dc9adc69d4b66e19f89075e868e79c.png
28,Nouveau lotissement terrain à Saly Portudal,594 m²,Hann maristes Dakar,36 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c82af09669158d4db8f86548475cc837/-/horizon-files-prod/ed/picture/q8v5jrkp/69e729533f7ddcaa006d2c0844e5ba0e319290ef.jpg
29,Opportunité à Diamniadio Pôle Urbain,"20,000 m²",Diamniadio Dakar,800 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d8522bcbc1041377635dd297f523c05/-/horizon-files-prod/ed/picture/qgq92pwk/b0b668f47f35c27e9235e810959c21f6774ebc06.jpg
30,TERRAIN A VENDRE DOUGAR,150 m²,Yene Dakar,4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0fda2ae01329895dc5fdb1d6dc6363d/-/horizon-files-prod/ed/picture/q9mjkzz5/2562071b0925cc5afdfa308a9aa385f4d5615c15.jpg
31,Deux voies Zac Mbao terrain à vendre,286 m²,Zac Mbao Dakar,85 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e88cddeebc413745885cb887e479b212/-/horizon-files-prod/ed/picture/qv4wjzvv/2b334c184048d78059e0594b5103cb9675b25ab7.jpg
32,Des terrains de 150m2 à zac mbao,150 m²,Zac Mbao Dakar,25 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9227942bd486a92392ecd8c4e0fa25d1/-/horizon-files-prod/ed/picture/qm5pdvj9/e8563bf65650c01e6ef39bbf6ecfa132db25d06c.jpg
33,TERRAIN A VENDRE SINDIA,400 m²,Sindia Thiès,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/027405b849124747d49cb7160d571ec1/-/horizon-files-prod/ed/picture/qgqwp5p9/895014066c598f4fd33a51f7f4c255667bc98a93.jpg
34,terrain a vendre a kounoune,150 m²,Kounoune Dakar,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/840ef05ca039b224458d83d3ad5fe237/-/horizon-files-prod/ed/picture/qkr8g0nz/699606458d9980771ff0cc1f7250b58ba4049862.jpg
35,Centre-ville Vue sur mer,"1,600 m²",Plateau Dakar,4 000 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4b28a2516856f61cdd9f47cde172da7/-/horizon-files-prod/ed/picture/q78wpxgq/b081d3c73c92f382f8765551eb369467bfb255f1.jpg
36,Terrain 1ha Bail individuel à Diamniadio,"10,000 m²",Diamniadio Dakar,250 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/06659362720d805b6637ff127c332542/-/horizon-files-prod/ed/picture/qgqwpvnr/820ed4a2b54ac9a75153b0eaef0f80961019bb9f.jpg
37,Prix abordables à Diamniadio,216 m²,Diamniadio Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/36484794c9896f645c446d472a985d20/-/horizon-files-prod/ed/picture/qm5gv5mr/de25ed5980dc6e76f6e9cfe2ab210f17c25c30de.jpg
38,"Terrain agricole à vendre à Nguéniène, Thies",,Mbour Thiès,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/622f195d5a59a5cfe7b3f3fd086ce964/-/horizon-files-prod/ed/picture/q9mjrrvv/5e4310c039f105769c73927fa8cf37601f48a807.jpg
39,Terrain à vendre,150 m²,Keur Massar Dakar,22 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a3ddf423ff3b0d72b80c117ac6d4c79/-/horizon-files-prod/ed/picture/qxjp24qm/0a06971c50f9191c7e2e9845d3b62500230af366.jpg
40,Terrain à Mboro par hectares,"10,000 m²",Mboro Thiès,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/768b072b3d99e0e3dd2495cc2da82df4/-/horizon-files-prod/ed/picture/q8vzxr74/b328516b54a18344a158ada18c7fcf4971400f40.jpg
41,Terrain à vendre sur la vdn3 rond point Gadaye,192 m²,Guediawaye Dakar,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e130b6e5b2494dc947c519fa3b921fc6/-/horizon-files-prod/ed/picture/q2jqd8qj/5c4c6b3c20d2ef87c1c92de9869c43f8f968e65d.jpg
42,Mamelle Terrain d angle avec trois façades,"1,002 m²",Mamelles Dakar,650 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20a88d7ab9ff7c939748a5fb1391a5af/-/horizon-files-prod/ed/picture/q44n26p8/2fc9e6fb2abeb04ac6478120e230a2b680eae449.jpg
43,2 terrains de 200m2 à vendre à saly,200 m²,Saly Portudal Thiès,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bbf6c154ed6b600c8db369b329874e4b/-/horizon-files-prod/ed/picture/q44n0jrm/de4645fc8ab8714986d19fcd50ef3996132c4518.jpg
44,Terrain de 449 m2 à vendre à Ndaparou,449 m²,Ngaparou Thiès,47 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/83a4b3b08d4c02e381a68a47cfb9e19d/-/horizon-files-prod/ed/picture/qv4wkx6v/b69976ecfdc003e73a6cf5829fc55f750c565886.jpg
45,Terrains à vendre à Thies Mont rolland,225 m²,Thiès Thiès,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a00cb9c2633feadadf0be23a5249b3de/-/horizon-files-prod/ed/picture/qngpj60r/bec5e1450cfd642164a0c4dc4f28ff2f2f781183.jpg
46,Terrains Lac Rose keur SIMBIRI,,Lac Rose Dakar,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/12b9f5000f5a26e86d3fb4eedfd3c52a/-/horizon-files-prod/ed/picture/qq422qew/48f07482860ae81f704cd061b5d2d1518c5a6c91.jpg
47,Lot de 100 terrains à bayakh sur la route nationale,,Bayakh Dakar,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1be837c682bafdb00f200770af3ca5b5/-/horizon-files-prod/ed/picture/q56x72g7/b24ba1e8ee5bed987a8dd2dce0230560c4aa6799.jpg
48,Terrain à vendre à Ngalelle Saint Louis,300 m²,Saint-Louis Saint-Louis,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/16a380275ff4ca3f0ffb5730f57d680d/-/horizon-files-prod/ed/picture/qxjpq5qz/aa18e6e3a4d6578b3afdbcb5a4339c6d4fcbc30f.jpg
49,Terrain de 150 m2 à vendre Ndiakhirate,150 m²,Ndiakhirate Dakar,14 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9579810ec25beecff4bbd16ca355b77/-/horizon-files-prod/ed/picture/qm5gn80w/d5ac1ba3bffcfdb77010863b04e3c14c968683ed.jpg
50,Terrain nu à vendre à ouest foire !!!,150 m²,Ouest foire Dakar,95 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c6ed06500ae19479abab882b4d92869/-/horizon-files-prod/ed/picture/qde74e04/9ca03f7c3b1e1d943343e86344322b5191c22fa4.jpg
51,Terrain à vendre,343 m²,Somone Thiès,11 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/71a71ba47f53f5abc8a9f709ebd5ec63/-/horizon-files-prod/ed/picture/qkr80xg2/f1da814b095abae5c65778b13d876b9f4b88bb65.jpg
52,Ref_5071_JN 1605 parcelles viabilisées à Kounoune,,Kounoune Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/acdfe0b3273388761832f2ff994137cf/-/horizon-files-prod/ed/picture/q6xdzqq7/8863fa38d62caabf3e36f3bd2ff70cda86838ba3.png
53,Terrain à vendre,150 m²,Bambilor Dakar,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fad71545152153eee244e8d4ed8fab01/-/horizon-files-prod/ed/picture/q6xdzq26/cf7aff74e8b41430b50d8e61965ba30fa63e85e8.jpg
54,Terrain à vendre à Pout,180 m²,Pout Thiès,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cea9af24257e07a5df7ec5a61dd9bdf8/-/horizon-files-prod/ed/picture/q0gwq7p8/f3ad95a385702e53f710c0b6cbef3ec529a42588.jpg
55,Terrain de 412 M2 à vendre à mbour Toucouleur,412 m²,Mbour Thiès,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a63502fae913a4b01c2fd69b994ebdf/-/horizon-files-prod/ed/picture/q78w9jeq/c575aeafda4cf208516225cd79a86505dc57c857.png
56,Terrain de 400 m2 à vendre Benne Tally bordure de route,400 m²,Biscuiterie Dakar,280 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/929902054e65bea223d4e64d05f29b5c/-/horizon-files-prod/ed/picture/qm5gd02g/5d64c49fc998d8a66e7233ad8cc3969708db7a64.jpg
57,TERRAIN EN TF À VENDRE À LA CITÉ HAWO DIA,150 m²,Kounoune Dakar,22 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4da17d6cb56f05649f6ae7e88d55fa81/-/horizon-files-prod/ed/picture/qenv2wv9/26303d7d460194236bfc3e1c5d7dc6ca31384544.jpg
58,Terrain a vendre a Keur Massar Unité 22,160 m²,Keur Massar Dakar,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf567483e39c13dddb0a02b4527fbf8a/-/horizon-files-prod/ed/picture/qkr86ezx/7435de6d43dba995dc7a49e04598e08946c9385b.jpg
59,A VENDRE UN TERRAIN AVEC FONDATION,200 m²,Mamelles Dakar,175 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c1ea9e5bbd7880a1a7c848fd27f945b/-/horizon-files-prod/ed/picture/q6xdzz58/18dced4b3b562edafaeaffc74aa7e36989756a17.jpg
60,terrain à vendre,150 m²,Keur Massar Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6e5853073a96ed208aca234c482908e/-/horizon-files-prod/ed/picture/qkr822dj/e3e0e7068782d4c347d422cd346dff16825e16b7.jpg
61,Terrain clôturé en titre foncier à la lagune de Somone,"1,390 m²",Somone Thiès,138 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f5db3c0849dd4fdc9f191ec3c596cea/-/horizon-files-prod/ed/picture/q44n77v8/34bf2c9ec735b6df582ce1e8c838ad34a5dd8c54.jpg
62,"""Opportunite a saisir "" 2 ha à vendre à Popenguine",,Popenguine Thiès,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42534f50552812d148ac974f1103b3e5/-/horizon-files-prod/ed/picture/qrz8jgz4/78a3652064d128fc15630e91b6a991f23e42b22f.jpg
63,Terrain à la SeneGindia SN City de Ndiakhirate,150 m²,Ndiakhirate Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0708d5420a778a50f4cee946622c04b8/-/horizon-files-prod/ed/picture/qzvpe6xr/ca1d132659696e3b2f3d196e10011a4fa6d9071a.jpg
64,VENTE TERRAIN ZONE DE CAPTAGE,183 m²,Zone de captage Dakar,80 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/910649dbe2dec72cfa679fbf8512d6ee/-/horizon-files-prod/ed/picture/q8v4nd86/0e25616730213503d86fe8b3b69ce4e3766d6bf4.jpg
65,"518m2, angle, tf à vendre à Hann Mariste",518 m²,Hann maristes Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4c5b4977ca804faa6127bf615979e4f/-/horizon-files-prod/ed/picture/qxjpxzm4/2380b5a48189517d50298f4b79b84d62918e1c6a.jpg
66,Terrain Diamniadio Cite Fonctionnaire,150 m²,Keur moussa Thiès,3 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96ca6d156176838edcd608f7acb76eb1/-/horizon-files-prod/ed/picture/qngx4p4k/64658fb8ee56300fd28ac78fe168dbdc1c9bfe0b.jpg
67,TERRAIN A VENDRE CITE FONCTIONNAIRE,300 m²,Diamniadio Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5fc8a24ebc712ae294becc9b626f1d7f/-/horizon-files-prod/ed/picture/q6xdz40j/acc10783d54e5129f6ad800b2eab12bfd8ada641.jpg
68,Diamniadio 1 hectare,"10,000 m²",Diamniadio Dakar,12 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8652afbcafcc881417e6608867e8bf04/-/horizon-files-prod/ed/picture/q2j059mg/4612934107b03dbfcc1ec526c30800c1c258fb2c.jpg
69,A vendre un terrain bail,300 m²,Toubab Dialaw Thiès,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8bcd8a633508c54ea0aeae8bc960e0c/-/horizon-files-prod/ed/picture/qwepjekj/0bc872e68548cd7d36d5a7058d3299953f236ae8.jpg
70,Parcelles de terrain à vendre à Nguerigne,600 m²,Nguering Thiès,24 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4794d4a1e50036b6a9d8c26d2d5b45ac/-/horizon-files-prod/ed/picture/qngp2vdw/f2285471fb7cc62557da385c91e2ff126f77f52f.jpg
71,Lotissement à diass,180 m²,Diass Thiès,3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f8a07542e946b0734bf440a7a46228c/-/horizon-files-prod/ed/picture/q9mjgkkn/5692557048957f5a46a19bae7fe77c393360c639.jpg
72,100 hectares à bambilor,,Bambilor Dakar,16 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6aada0cb6d17790a96e18e88a254513/-/horizon-files-prod/ed/picture/q6xdqpqd/92dcd4c62e6f4b822570e241a107dfac52814465.jpg
73,Terrain 2 hectares 800 noflaye,"28,000 m²",Noflaye Dakar,45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce1edded4251cb575ffd22b88768b93f/-/horizon-files-prod/ed/picture/q8v59kj6/19089c02221105893df5394a7e11bf6bd3d3e9c8.jpg
