,Details,Superficie,Adresse,Prix,Image_lien-src
74,terrain industriel,"7,187 m²",Kounoune Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/353d55283715ab3ceb823c01bad5dbcd/-/horizon-files-prod/ed/picture/q8v4n78j/9696eb17c0a09a0bcebffbbf00ea8f0a229be541.png
75,Coopérative keur issa possibilité de payer sur 20 mois,180 m²,Thiès Thiès,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fb16780b88a361305c7ded8027f9330/-/horizon-files-prod/ed/picture/q9m96qj6/f55d16eb7d89787a11dcedc8e16cefafd86b18ff.jpg
76,Promo magal terrain à djibril mbengue,210 m²,Thiès Thiès,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/885e68566b0890039e754e5da8645bd8/-/horizon-files-prod/ed/picture/qngpppek/3c48a92b3e5e8c1938b7da109b56335008063d7a.jpg
77,Terrain avec bail à vendre à Nguerigne,519 m²,Nguering Thiès,42 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20ef48fab60c772d96a5af42e9f19d06/-/horizon-files-prod/ed/picture/qgqwqq99/bde97e202d82ffc8df72e818a3dcb7072a7d8d40.jpg
78,Terrains à vendre ndoukhoura diamniadio,180 m²,Diamniadio Dakar,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20fb3cc3200da4991e0a6a43fd44dbd6/-/horizon-files-prod/ed/picture/q9mjwqwn/497d93a77bc555054359f17f201a85c0149fc654.jpg
79,A VENDRE: terrains à Niague-Lac Rose avec titre foncier,200 m²,Niague Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/36f41779711d60e04b57dfc825834f28/-/horizon-files-prod/ed/picture/q2j056gp/7f0b4997de48220f7ab7a2f9a205f5884e4cfa3f.png
80,Terrain semi-clôturé de 594m2 à vendre à Ngaparou,594 m²,Ngaparou Thiès,47 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/53bb0da55f97c45a87c9ce2a32d9bb87/-/horizon-files-prod/ed/picture/qm5gdek6/6c70e72109eab97be0ce358cfeda4f6256eac3cb.jpg
81,Champ agricole plus forage et bâtiment,"50,000 m²",Tivaouane Thiès,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/866fa0a5da7c2e06a48833768cef2a5c/-/horizon-files-prod/ed/picture/qv4wz45x/19b4ffde8beeebd70b4fef83c08dd8d65749cd50.jpg
82,Terrains à vendre a yenne- ndoukhoura peulh,150 m²,Yene Dakar,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58d3b3eeca34120798695f18f4caf747/-/horizon-files-prod/ed/picture/qgqwzdj4/c95858d731cc6040d96d017de73ce81f5e66ad03.jpg
83,Terrain à vendre a tivaoune peulh TF,150 m²,Tivaouane peulh Dakar,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c746f80bf2628a895a93b705d555211/-/horizon-files-prod/ed/picture/qm5gn5g2/2b364cf915e2942e57e72a13046d83d14dd95d81.png
84,TERRAIN A VENDRE,300 m²,Sicap mbao Dakar,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/79d9ec71dff466d2fe6e03a4c398dcfa/-/horizon-files-prod/ed/picture/qkr80jnp/dada8f0848092bf5405fb87675ae19f5d65d8ed8.png
85,Beau terrain de 450m2 angle sis à pointe sarene,450 m²,Pointe Sarene Thiès,24 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ea8395f93357a062b4d1e90b44c379f/-/horizon-files-prod/ed/picture/qv4wx2xx/0411d94f68a21332f8bad6d4e28a0f1158ea02e6.jpg
86,Terrain Zac Mbao,120 m²,Mbao Dakar,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b6836e4f45f4867e966500eeb10212a/-/horizon-files-prod/ed/picture/qv4wx2jm/320a42c12a85b2428e5a66dbf841d0da9ccabf19.jpg
87,Terrains à vendre à Pout sur 36 mois,180 m²,Pout Thiès,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85d54e90efa99fa68faa9311c2393d30/-/horizon-files-prod/ed/picture/qxjpx554/553a0dbd7d0bf92b18b6a3d602b957a872925228.jpg
88,Terrain à vendre Keur Ndiaye lo,150 m²,Keur ndiaye lô Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a35207e9235e4b498db80f436b1cf8e/-/horizon-files-prod/ed/picture/qwepjq2g/e8d25c47ce8e130bcef488f4d652e5ecd943dab9.jpg
89,Terrain de 300m2 angle à somone,300 m²,Somone Thiès,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/842f47adc2334fc72ef4fa0f4b10c2eb/-/horizon-files-prod/ed/picture/qenqj52d/9b5616730d8cf92ed181990f1d0e45678246af94.jpg
90,Villa moderne à vendre,300 m²,Mbour Thiès,95 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/91f6f2527bc7f29fe2ddbe9fae8b7e46/-/horizon-files-prod/ed/picture/q56dd7wr/3085be667b4001b0cdf4deedb401eba4871883c3.jpg
91,Votre terrain au Sénégal Dakar payable sur 3ans,180 m²,Pout Thiès,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1689ab5a0ff1bd7c71439bf24ea83ef9/-/horizon-files-prod/ed/picture/q2j0km6j/6f7551a48112726f42e6da1734e15f5136d6aece.jpg
92,Ref_5073_GL\Terrain à vendre en front de mer à Ngor,"1,600 m²",Ngor Dakar,2 000 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dac6e7e2a5bf93aa26d5606b98263d33/-/horizon-files-prod/ed/picture/qm5g45md/d36ae25ded5a70d599cb72e4e47c7fc081fd3ed4.jpg
93,Titre foncier globale,314 m²,Hann maristes Dakar,70 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b125efaa104fbe0963fdac9533a88061/-/horizon-files-prod/ed/picture/q9mjw955/316eb8090e16940c10b81e782fa540a78752de84.jpg
94,Notification de bail,180 m²,Pout Thiès,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3f270f0015f092edafbad7290b2ce004/-/horizon-files-prod/ed/picture/qwepk4km/5525674012e18ac4be219aedb89221ca3dabf0d9.jpg
95,Terrain Apix extension,150 m²,Tivaouane peulh Dakar,16 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/005a9c0921e082060cbef24784a7e9da/-/horizon-files-prod/ed/picture/qxjpkrgm/5491d7ffa5673dfb2f952bc862f0e3777777c883.jpg
96,Terrain de 78 hectares a tassette,"78,000 m²",Tassette Thiès,1 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0fc07303cc708acd8200631d3cab5ea/-/horizon-files-prod/ed/picture/qq478r2p/d7221de74913155c8c343c3fe4dab311ff105b2d.jpg
97,TERRAIN A VENDRE A DIAMNIADIO,,Diamniadio Dakar,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/57fd7979c779ba4a7ae66abc9f46e91b/-/horizon-files-prod/ed/picture/q9mjkq47/c4ad0c445afb55d31ad9137611461c749128da95.jpg
98,Terrains à vendre à la sortie 12 payable 36mois,180 m²,Grand-Dakar Dakar,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f06b10a3a01149377aa73199fe252453/-/horizon-files-prod/ed/picture/qenvn8jz/20d912f72225b58c448dd39f2d10b9bbee17f706.jpg
99,TERRAIN A VENDRE SUR LA VDN,"2,080 m²",VDN Dakar,800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa8c173e5e782225440760de66a40a41/-/horizon-files-prod/ed/picture/q9mjjp78/b07da4fa205f64e94f34da639d67b5be41a9bd0a.jpg
100,Terrain 1000 angle commercial sis aux almadies,"1,000 m²",Almadies Dakar,1 200 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb2c288e27b37fe440d1f0c6a189140e/-/horizon-files-prod/ed/picture/qj4qwq8v/0fb15201e4e3b061fb6b547b939910baefd80d6c.jpg
101,TERRAINS A VENDRE A TIVAOUANE PEULH COTE APIX,150 m²,Tivaouane peulh Dakar,13 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2512f76d41a9b5715ddffbbdf26c63c3/-/horizon-files-prod/ed/picture/qrzz4wd4/26d56ed7ba4087be5e2f26f32763223f7844dc22.jpg
102,Terrain à vendre à la Sicap Liberté 6 Extension,180 m²,Liberte 6 extension Dakar,120 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b50694fa3494897e99609b160133c9f/-/horizon-files-prod/ed/picture/qzvp6p78/6b6db3b892e4abbfa0194b1fbfcfab0a6cf7c64f.jpg
103,Terrains à vendre à la lagune de Somone,400 m²,Somone Thiès,20 800 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2016f515c69f2411aa15829c957d234a/-/horizon-files-prod/ed/picture/q6xdmqdv/1d94cc7110ac431755fb7b4a2726f90c2c42962f.jpg
104,Terrain à vendre sortie autoroute à péage - 2 voies de Thies,225 m²,Thiès Thiès,5 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3be2bfef7532f470e6e6bba0126530df/-/horizon-files-prod/ed/picture/qde7eqzj/3730f52dda22439a484d4af773e9cd11fd8151ba.jpg
105,Terrain route de Rufisque,"9,863 m²",Hann Bel-Air Dakar,299 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a785b467236e6529b4a2c92db814aa5/-eyJvciI6OTB9/horizon-files-prod/ed/picture/qv4wzxdk/c750bc53cb50d51cba398016ce7b355d7c1b2b46.jpg
106,Mbodiene plage Terrains jumelés 300m2,300 m²,Mbodiene Thiès,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c79ce19d7534981a5c6731f4af5d7ec/-/horizon-files-prod/ed/picture/q8v4dm44/b78b159b1f056353ee847dbcfb774e890c355f45.jpg
107,Terrain 200m2 sortie 9 péage,200 m²,Zac Mbao Dakar,50 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/67c31b5c9e08ccfff9867847e53879c6/-/horizon-files-prod/ed/picture/q44n6p29/8071e2e364e8f4c8062a6de754a254e69e656182.jpg
108,Saly:Terrain a bâtir,624 m²,Saly Portudal Thiès,50 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9d90bcf32bdfaefc990be985fda15ed/-/horizon-files-prod/ed/picture/qwep8nmm/9c94fa1c578b545ca6037a1e561d9b7c9e847a8c.jpg
109,Terrain clôturé 400m2 à Rufisque,400 m²,Rufisque Dakar,85 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d97ad23a864c2b0b4caa4198d5e65b6/-/horizon-files-prod/ed/picture/qgqw04wn/1ba2c10507c545a01c6a89abb43920ef5cd06847.jpg
110,Terrain 150m2 Almadies 2,150 m²,Almadies 2 Dakar,30 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bea45ac694816afa8b7f73abaa7bb59/-/horizon-files-prod/ed/picture/qzvp6r88/2aed4ba712d96953a19ccdf1db71c9aa59aa1865.jpg
111,EXPLOITATION AGRICOLE,"500,000 m²",Saint-Louis Saint-Louis,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2073538521b8c91a6dacc4be4405bb62/-/horizon-files-prod/ed/picture/qgq9rre9/f15ccdd79fdbca96a7abf6de299fe96784ed7e77.jpg
112,Terrains TF à vendre cité sapco keur massar,300 m²,Keur Massar Dakar,35 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b732a950aa12cb2fdb8ce9bff080824/-/horizon-files-prod/ed/picture/qpd62wqm/e0299756124d6632aad23e99f907161e749e543d.jpg
113,Terrain à vendre à Deni biram ndaw,150 m²,Lac Rose Dakar,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e98109055b428f471e4840265326492/-/horizon-files-prod/ed/picture/q6xdq86n/9dd6cd7c020582d25df5bfa769be35cfc8c1d749.jpg
114,Terrain à vendre à Saly Gandigal,225 m²,Saly Thiès,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7522d5709e3d11e7205467ab7008ed31/-/horizon-files-prod/ed/picture/qpdm8q9q/ec88735b83bc7caf58693f09fac8cae54f81395d.jpg
115,Terrain Tf a vendre a Liberté 6,350 m²,Liberte 6 Dakar,125 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fade3753dc02c50802943b286895003a/-/horizon-files-prod/ed/picture/qm5g4mdj/d67cf3149072b90e5119fd8524fc8eacedd80251.jpg
116,Terrains à usage agricole à Mboro / hectare,,Mboro Thiès,2 999 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64b01572de5bbe0cf504f373b7acf46e/-/horizon-files-prod/ed/picture/q8v57mkn/01d4781aabedee939a3a6c1f7e4f57cdcd8c228a.jpg
117,Terrains en vente à Kounoune T.F,150 m²,Kounoune Dakar,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/29640978dd78283abc8199788dbb940d/-/horizon-files-prod/ed/picture/qq4qee04/061431982a669c17a9d8dffb2a6a9b72473a4ccf.jpg
118,Spécialement des grands terrains a vendre,"1,200 m²",Almadies Dakar,1 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e46d1b7cbad08a6173ab51fa9f1a444/-/horizon-files-prod/ed/picture/q78wg64j/9bdbabe10eeca3739a855c990081881962731166.jpg
119,Terrain de 150 m2 au croisement Niague (site viabilisé),150 m²,Niague Dakar,18 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a41ea09d173d37bc412d12168e59bd14/-/horizon-files-prod/ed/picture/q9mjk0jn/40561ce64eaec0a249d384509626f6406d78ac29.png
120,Titre foncier Kounoune,150 m²,Kounoune Dakar,19 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/554526a430ed909ef0d7e0724e5991cd/-/horizon-files-prod/ed/picture/q44nmm52/90539f8fa06fa722d241026a667e9ba9ab572a8e.jpg
121,TF global / bail Individuel en cours,400 m²,Somone Thiès,35 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb0da83079323dd80ffc6828a802e34c/-/horizon-files-prod/ed/picture/qm5gdd76/a53cc364f40e1f08a089d50bc7bf61d805058533.jpg
122,CITES DES SENEGALAIS DE L'EXTERIEUR,,Mboro Thiès,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/272d35e471d069f78d65aebccf0a2cfb/-/horizon-files-prod/ed/picture/q8v4m8w0/a72be5d0b9f43474ebf665e14ebd19a54cbf2777.jpg
123,Terrain à vendre au Point E,900 m²,Point-e Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/534fd99dcc7eda2a9edc4298e94f90a1/-/horizon-files-prod/ed/picture/q0gw64n8/cdd082dffd0e8f03ca7cbede305caaa632b22259.jpg
124,Terrain 2000m2 aux mamelles,"2,000 m²",Mamelles Dakar,850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8cf28363d4c7d507b11822389dee4aa9/-/horizon-files-prod/ed/picture/q0g7z0xx/289c781815ef49e32113c5d5b3bc7abffccbabb0.jpg
125,Terrain 2000m2 à yenn,"2,000 m²",Yene Dakar,90 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe336818de2c8d67b698565fcae8e8a9/-/horizon-files-prod/ed/picture/qwep8596/c59a98e9b9d4c22db728f4b2d055bc10e65aa5fd.jpg
126,Terrain à vendre au point E,"1,549 m²",Point-e Dakar,1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3df3de372fa47c03fdc8da748d2c7f3e/-/horizon-files-prod/ed/picture/q9m9vmgp/5ac0f836bd22e3bc43e979b6525ac2db8d542e34.jpg
127,Terrains à vendre à Niagues,,Niague Dakar,3 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/490ee274846e65640645710ee9147384/-/horizon-files-prod/ed/picture/qenv7m4z/4fb026caa1735788a5f2ddd699a578482fb417b4.jpg
128,Terrains à POUT payables sur 3ans,180 m²,Sebikotane Dakar,4 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a1141d3feb52f5a6a2eeba092c55c87/-/horizon-files-prod/ed/picture/qkr8mr9v/0658f0981434a31c2090ec75613266d778027538.jpg
129,TERRAIN EN VENTE KEUR MASSAR,150 m²,Keur Massar Dakar,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7580320f6a3c3d53a879979ee114d0e8/-/horizon-files-prod/ed/picture/qv4wdjpg/24c1cb5a02a5480d111e648ba20531bd3ad4504b.jpg
130,Champs de 1 ha en première position,"10,000 m²",Notto Thiès,55 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca3bf0e23629c9190927c56befb6c84e/-/horizon-files-prod/ed/picture/qpd6q7ej/f82829524f10b59eaf040895004ebd1fa1d40056.jpg
131,Terrains à vendre à Mermoz : l'endroit idéal,340 m²,Mermoz Dakar,299 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/beb85a719389ea05a1fa5f62a66a64a3/-/horizon-files-prod/ed/picture/qj4qwgq6/a8732ce8d8b62c9d44517bb93a3612b8365c5b60.jpg
132,Terrain a vendre aux Almadies,272 m²,Almadies Dakar,180 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/19e86999d155bcbf54edeac3dc1fe1a9/-/horizon-files-prod/ed/picture/qngpzv4r/7d91e7fcd7c4b8cbdc4d9723ae28f48f3bac2d83.jpg
133,Terrain aux Almadies derrière Philippe Morris,289 m²,Almadies Dakar,250 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f3c1c7438e6b97be74b9abd19f2b70e/-/horizon-files-prod/ed/picture/qrz80wd8/a6875b36984536ff488ffee22460fc13f13f36ea.jpg
134,Terrain à Nguerigne,"2,900 m²",Nguering Thiès,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6d3810e14b37fc14173e0ef79a29d550/-/horizon-files-prod/ed/picture/qrz80x5n/eab77b17b88001e15b060b7710c4f4cd68d5f6e0.jpg
135,"Terrain, bail individuel à vendre cité Elevage Mbao",150 m²,Mbao Dakar,21 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b677aa103fc2b5bf71c5f78bc193d059/-/horizon-files-prod/ed/picture/q6xdmxe6/c7b885332fda8778039ca2dfbdc188d56a2df1dd.jpg
136,1543m2 a vendre aux Almadies,"1,543 m²",Almadies Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/09d699e6bf0a85a039fb7a83979f1c5c/-/horizon-files-prod/ed/picture/qwep87m6/2b6f183cf0b9742b5ea1c88a48372185bcae9f05.jpg
137,Terrains Titre foncier individuel à vendre à tivaouane peulh,150 m²,Tivaouane peulh Dakar,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a82a4660b77cb4705b2cbafbff8cabf2/-/horizon-files-prod/ed/picture/qm5g4xgd/b01ce04fff601e207db474b5ce8d11bb3f11e3f6.jpg
138,Somone à 100m de la route principale,500 m²,Somone Thiès,40 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65a2ce6496125a6c8e772dcf87e4c6a7/-/horizon-files-prod/ed/picture/q6xdq4qv/875878fa88ee9729a06f1745f4745bf8519416ce.jpg
139,Lotissement à vendre à tivaouane peulh,150 m²,Tivaouane peulh Dakar,4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fa31ff8b15f755c41f5fbff287fd842/-/horizon-files-prod/ed/picture/qwepzqw0/e39cd6f9f25fe5043b9cece26e5b7acc4eed4f13.jpg
140,Parcelles de 150m2 bien lotissés a vendre à bambilor,150 m²,Bambilor Dakar,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62837575d6387e5da59368d22044ee6f/-/horizon-files-prod/ed/picture/qde76k0g/6ab3c173763ab53dceeac7fffb41a5f720f8cef1.jpg
141,Terrain prêt pour construction,225 m²,Bambilor Dakar,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ae65f4839a2560ad67e94d26874cb83/-/horizon-files-prod/ed/picture/qxjpw9jq/c6c4189d95360d9662deaa3d7518d7428df8e711.jpg
142,Terrain de 500 m2 titre foncier a Guediawaye côté Dalal jam,500 m²,Guediawaye Dakar,300 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47e5e7373a4664a47d5eddcc11ae5c21/-/horizon-files-prod/ed/picture/q6xdzzmd/faa20e8ef5bb8ff16ea54e693b793830631c83e7.jpg
143,Terrains rares en résidence à vendre à Nguerigne,998 m²,Almadies Dakar,42 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/05154d6f4b02979c0a41fc3c3283d9c9/-/horizon-files-prod/ed/picture/qrz848zj/9a29ac685a0c962cb9346c8c5250de5861c662d5.jpg
144,Terrain à vendre à Malicounda Mbour,300 m²,Mbour Thiès,4 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4fe0baeea27dbcaa98e68b6d920c2d1f/-/horizon-files-prod/ed/picture/qkdzeqn/2a79802d6cde5d7e265b9d22218bc0b045ed5786.jpg
145,Terrains a vendre bail individuel a Ndiakhirate,150 m²,Sangalkam Dakar,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bc3bcfc34e0b80917c78e7c872b3c44/-/horizon-files-prod/ed/picture/q56xv56n/02108abc7e9160852aedd65c2c609189d0aec557.jpg
146,Un beau terrain de 3100M2 Nguerigne,"3,100 m²",Mbour Thiès,120 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0db38ccabf6a834008d6bf8e3a09fc52/-/horizon-files-prod/ed/picture/qzvp5pnv/ccaf476f8001b953a6ac1a2957ffa1dcb0f999b5.jpg
147,Terrain 300m2 TF aux Mamelles aéroport sur une voie de 20m,300 m²,Mamelles Dakar,225 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e88fc211aaa32af9b6f459ffa7854c74/-/horizon-files-prod/ed/picture/q8v4d5jj/32c4704ad7f5fb384267b712751469ed88a13dc0.jpg
