,Details,Superficie,Adresse,Prix,Image_lien-src
295,Terrain 725 M² à Dakar,725 m²,Hann Bel-Air Dakar,950 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/614202291b3d23e9f4b5a0960ba7feed/-/horizon-files-prod/ed/picture/q56d8240/3d5e5de63b799c1078a09acbaa5443713b0ad03e.jpg
296,Terrain Zac mbao,150 m²,Sicap foire Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/717e64c09449ae938210de83e1a8c04e/-/horizon-files-prod/ed/picture/qj4q9g5e/1119fb092e865fce38364726f7e33e2006933d58.jpg
297,TERRAIN DE 150 m2 ZAC MBAO,150 m²,Zac Mbao Dakar,40 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5296f0accdd721fab70bc4965bf8749/-/horizon-files-prod/ed/picture/q9m940gp/831eeeb444cfebd6c63acd6dab2fc145711d89ab.jpg
298,TERRAIN DE 150 m2 À ZAC MBAO,150 m²,Zac Mbao Dakar,40 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/513d06b5dc1b1eb43aac7b47931864de/-/horizon-files-prod/ed/picture/qngxmzme/e541bf6e5a14fbc9440479d0b3c7efd134b3c960.jpg
299,Terrain clôturé 882 m² NICAD à Nguerigne,882 m²,Nguering Thiès,30 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fde48524b8cca35a0514da4b40982ad0/-/horizon-files-prod/ed/picture/qxjpn6n4/129db81cfbc6438b65c3b8e225651aadc64e5fd3.jpg
300,Terrain commercial ideal pour tout projet immobilier,"1,625 m²",Almadies Dakar,2 437 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c66a6faef4aedd06c7bb849460c0960/-/horizon-files-prod/ed/picture/q56d6e57/f33ea0cb00f5665af731d94c5a342cbf78279e7a.jpg
301,Terrain double façade 224 m² Mermoz,224 m²,Mermoz Dakar,170 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/682369d85faee69122a2a85e4e5c6adf/-/horizon-files-prod/ed/picture/q56dqx40/c1ec1267a296a0fdf214c491cf4a24863343331b.jpg
302,Terrain de 900 mètres carrés à vendre au point e.,900 m²,Point-e Dakar,990 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a00e3e875710c28fbb5f0fa4fdb9adaf/-/horizon-files-prod/ed/picture/qq42kq9e/6b2df709499e504214b38d7a6db3e821476aa970.png
303,Position commerciale Almadies,"1,626 m²",Almadies Dakar,2 435 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b198f2b27c3af086a37ab474dcf8b314/-/horizon-files-prod/ed/picture/qq425g2z/a2cc1e8e83e097e9f40de6ab5361826613137596.jpg
304,Opportunités King fahd Almadies,"2,000 m²",Almadies Dakar,2 000 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5fafb93c6600b3b97e29b0120d3189b/-/horizon-files-prod/ed/picture/qpdm0k22/f68c7baf29bda98c4b522c3c6781162c5de43e83.jpg
305,TERRAINS AUX PARCELLES ASSAINIES DE KOUNOUNE 3,150 m²,Kounoune Dakar,9 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/41ab8bc00c4332be770882717a61232a/-/horizon-files-prod/ed/picture/qwep06jz/6a3933b5b5ca6e1a7da51d911d5df88aa0388ec8.jpg
306,Vente Terrain à Ndayane,"1,304 m²",Ouest foire Dakar,35 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01d30afff58716e9481f6d2a14a71cd6/-/horizon-files-prod/ed/picture/qde7mpe0/1be296e918890247baae1da83951cfac3ab9b1a3.jpg
307,Terrains à vendre,"-50,000 m²",Ndangane Sine saloum,500 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/587dadf36749e8507f4f0c21872e9326/-/horizon-files-prod/ed/picture/q56dq0rg/de645bd923c99768e64abac69c4a79d07b3dfc54.jpg
308,Terrain de 5 hectares a thiès,"50,000 m²",Thiès Thiès,30 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c067edd428ff2774ee5324e13d71d60/-/horizon-files-prod/ed/picture/q4487rvm/5d6cebf9e4daf141776e019c7ff2b7abb6f85c7f.jpg
309,TERRAINS VIABILISES TITRE FONCIER A VENDRE A TIVAOUNE PEUL,150 m²,Tivaouane peulh Dakar,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/53868dae1acd044ef54a334da3cc0454/-/horizon-files-prod/ed/picture/qwep9q8k/03421aa5045997f7cd1fc55ad57cc04cf559df09.jpg
310,Terrain à vendre,450 m²,Lac Rose Dakar,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1736c550837e1a80f84afe772ee8dae8/-/horizon-files-prod/ed/picture/q56dqj66/94973b4f948575d7db7cc8c9ebe062a29fda3e41.jpg
311,Terrain a vendre bambilor,150 m²,Bambilor Dakar,5 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de374f4cee0e96d572cdbe1f7001263d/-/horizon-files-prod/ed/picture/qm5gqp8q/04262e17649b5c159f0988843f73c5c81019f403.jpg
312,TERRAINS CROISEMENT APIX,150 m²,Tivaouane peulh Dakar,12 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98228c8712bab062847f37b4309ce372/-/horizon-files-prod/ed/picture/qngp8gwe/358931112b29c2f0e14b73aaf23da6aab2011a12.jpg
313,Terrains à vendre à Diass par moratoire,225 m²,Diass Thiès,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ef815392a66f7e1ef471ee8a48f2b43/-/horizon-files-prod/ed/picture/q0g7vrzd/0cc2f82221c1d00aba257d30075db5f19dd6f719.jpg
314,Terrain à vendre Rufisque,"11,227 m²",Rufisque Dakar,1 684 050 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5bfa1026c9824c5884449959382d7a97/-/horizon-files-prod/ed/picture/qpdw4r2j/ccb89021944689172c396f0b0bff233dd5ea96d2.jpg
315,Bambilor 90 hectares de terrain en titre foncier individuel,,Bambilor Dakar,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d487d5d52369ea6f806cfdf81755e74d/-/horizon-files-prod/ed/picture/qq42x0k7/c6447df82c366f8c6c77eacf9ffa011ec28a73bd.jpg
316,Terrain à vendre derrière la lagune de somone,300 m²,Somone Thiès,2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/95358da57e102282ca506b8037bdf7d7/-/horizon-files-prod/ed/picture/q56dzm67/d01b76dd734181c634a7dd6cb529416a0ab14e13.jpg
317,THIES 300M2 TF A VENDRE,300 m²,Thiès Thiès,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/adc112edeafa6cffee5cdd15a57e267a/-/horizon-files-prod/ed/picture/qmx8r66/b818f4a45ca50c7386e3dd80c042e5576640f314.jpg
318,VIRAGE 732M2 ANGLE PIEDS DANS L'EAU A VENDRE,732 m²,Virage Dakar,900 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f6e10188a379a5b6677f7ed5c369ee0/-/horizon-files-prod/ed/picture/qe0g58k/509425aee9cff73618b65ca050dcc6492cfcbefc.jpg
319,SOMONE TERRAIN 300M2 A VENDRE,300 m²,Somone Thiès,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f5869b1f6caf8a73b746e4372eff4e0/-/horizon-files-prod/ed/picture/migrated/q959jex/761754805e4ed41173f96581dd60b90b7fbee8a3.jpg
320,Terrains agricoles de plus de 50 hectares à vendre,,Mboro Thiès,2 499 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f65616807131d868bc8654f17901523/-/horizon-files-prod/ed/picture/qxjp9r7w/764ae1ee61a182770222cfa7c4e149e366646488.jpg
321,Terrain bien placé à Keur Massar,150 m²,Keur Massar Dakar,10 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/97b2d97bc47514803e44191e7c04431e/-/horizon-files-prod/ed/picture/q9mj247n/f1959e88ede5566f06142aba2c69e7b521f7102a.jpg
322,Ref_ 5089_GL Terrain commercial à vendre en face LGI de mbao,200 m²,Mbao Dakar,90 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9a6d1d60253cad2d7f473830df0f23b/-/horizon-files-prod/ed/picture/q9mjxe47/082982bca6a3d622365cc5b471aef4b890f52220.png
323,Terrain agricole a vendre,,Mboro Thiès,4 499 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8507bc6d5348f0f14324ec204bd6825a/-/horizon-files-prod/ed/picture/qngp86qg/40b226e03b478b0230cabdbd00f480b9d6a0e738.jpg
324,Ref_5082_JN Verger à vendre à Ziguinchor,"18,128 m²",Ziguinchor Ziguinchor,32 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c04ad78530dd17b1d8f58c9b5431ebf/-/horizon-files-prod/ed/picture/q9mjxpxw/5a87bdae3230a067634acba3d92ab560799436b2.jpg
325,Terrains à vendre à Ndiakhirate sur 24 mois,150 m²,Ndiakhirate Dakar,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/833ca72b2ada4c880e123c195c0ed384/-/horizon-files-prod/ed/picture/qq42gmme/9f8285865319d0162ff82060421195601f3ddbd9.jpg
326,2 parcelles à vendre à côté pointe sarene,842 m²,Pointe sarrene Thiès,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2bd13855ba3ec53a301a00c9df817b94/-/horizon-files-prod/ed/picture/q9mjngx0/9b0fbead8bf60bb84caa69c5d7a05f5bbd4845fe.png
327,Lot de 500 parcelles à colobane tanghor,,Thiès Thiès,750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e5024db18a25a63d7ad3e39483585543/-/horizon-files-prod/ed/picture/qzvpx58k/14669e1d5b783ebd4470e6c3a18f6db4cebefbdf.png
328,Des terrain à vendre sur THIES,225 m²,Thiès Thiès,,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dfce3e6c0f9e332e4da9570369452a02/-/horizon-files-prod/ed/picture/q9mj6k70/449071b2b3fce7b011f7f1770ca0e5968e15b5b6.png
329,CITÉ NOTRE-DAME (Coopérative de Terrain à Thiès),225 m²,Thiès Thiès,600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/732571c96d62935b1973e52df3fcd00e/-/horizon-files-prod/ed/picture/qv4wvjpk/be34c6200700f1c61e520c9fe47a62823a242ab1.jpg
330,Des terrains à vendre,150 m²,Kayar Thiès,3 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b8bf0e1f07e1e6ca8cf854fc515c74e1/-/horizon-files-prod/ed/picture/q78wqv4z/1726ca201e817e44ab8f250939a18205e341c0e2.jpg
331,Un champ bien placé,"40,800 m²",Tivaouane Thiès,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8cef056699489acb1a2bc91ed23c2d1e/-/horizon-files-prod/ed/picture/qrz8w2px/9439c6f0ba0bb467979baa2cd07f22f6925558d6.jpg
332,Champs à vendre,"20,000 m²",Mboro Thiès,30 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c0c69f97ecc907314b308683b9fd2961/-/horizon-files-prod/ed/picture/q0g7vx2k/cf50f18c9e31a6751b654e96b3dfe80701e6e2cd.jpg
333,Des terrains à somone bordure plage,"1,000 m²",Plateau Dakar,2 500 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df657f04f5f9ec75449cf30a76cd2fcd/-/horizon-files-prod/ed/picture/qxjp94d0/e5731cebab7cdeb3fb1ccaaac519529b79e3c998.jpg
334,Des terrains en vente à somone à côté de la mer,"1,300 m²",Somone Thiès,180 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47cba08f2d0413d657c375300776fab0/-/horizon-files-prod/ed/picture/q56dn485/eb882d635b6072397e7b35ba5c11443fc0342755.jpg
335,Terrain avec vue à vendre à Popenguine,"3,029 m²",Popenguine Thiès,141 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa6595e5efd0ec89cd342322edeb23b1/-/horizon-files-prod/ed/picture/qzvpk4md/6de8ca0d9233145333621197434a29ae05a498a7.jpg
336,Terrain titre foncier,150 m²,Keur Massar Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2bc4c9e24f28840c0976701d9ae27f3a/-/horizon-files-prod/ed/picture/q9mjkjj5/17e45eca0d3aa4cd40a8d3677b3756166ea868ee.jpg
337,Terrains Programme CDC SANGALKAM,,Sangalkam Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4ea12f435f10d0e661cea8c9b3faf961/-/horizon-files-prod/ed/picture/qm5g7r86/f73732a036d161ec8838b0b35f61fdba568612d2.jpg
338,Champ à vendre à Sangué Noto Diobass,"5,000 m²",Diass Thiès,6 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d688537c9d9eec9280f80b6a9aab0977/-/horizon-files-prod/ed/picture/qde7nn92/6bb151c7c557239d545d72f664e2ba6887b0fc2b.jpg
339,Terrains titre foncier à vendre à sangalkam,,Sangalkam Dakar,8 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/461dd248d902308b0c474dc36fc556d5/-/horizon-files-prod/ed/picture/q2j098k2/a549a3b55e280974cc8f104e743e3e1c2b08618b.jpg
340,Ref_5083_GL Terrain à vendre à Mbao,"4,333 m²",Mbao Dakar,630 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/31ac4cc8f85083c78f6ee99babadb671/-/horizon-files-prod/ed/picture/qm5g7gqq/f15443306557bfb7288d9c4a3621cf19eb60f4e7.jpg
341,Terrain d'exception divisible à Nguerigne,"3,000 m²",Nguering Thiès,141 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a5c57d0bb3cbb56fa8fd51889d31efa/-/horizon-files-prod/ed/picture/q0g7676k/49e8ca0b33b312e04d471a341335460e7dc2f255.jpg
342,Terrains à vendre 60 hectares à bambilor,"600,000 m²",Bambilor Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/872b9c88336c57b9be5ec4a25de02c2d/-/horizon-files-prod/ed/picture/qj4qg6m8/73bd182e623a1dfee3f41a7bf9a3c5f2047a861e.jpg
343,Terrains à vendre diamniadio route de mbour,"7,379 m²",Diamniadio Dakar,200 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ee5072cb702c89a99e34d998bbda983e/-/horizon-files-prod/ed/picture/q6xdwqxd/d5c44cbfbf7fff8ad0ea00fc85e8153c428a02b3.jpg
344,Terrains à vendre diamniadio sphère ministériel,"1,050 m²",Diamniadio Dakar,500 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1938f03a9a7128600ee1475f0892bc8e/-/horizon-files-prod/ed/picture/qv4wrd4g/83aa904a6d766a4e17d707eb3d2b8e6f903283b3.jpg
345,Entrepôt à vendre à Yenne,"3,400 m²",Yene Dakar,200 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/00e736912a21fa77ff99bb9aaacb8446/-/horizon-files-prod/ed/picture/q8v48mvx/caf9dd993e081c1f978e959a77b32d969f545219.jpg
346,Terrain de 250m2 à malicounda (mbour),250 m²,Mbour Thiès,2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3dc7f4785bde8b7c2d92ee540d528161/-/horizon-files-prod/ed/picture/q785rpjm/2d57d4e191b583410225cfd6767a745454397db8.jpg
347,"Almadies 2, Terrain 462m2 à vendre",462 m²,Rufisque Dakar,49 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0565296878238d2b6a17f0f9d594380b/-/horizon-files-prod/ed/picture/qv4wrdnx/87619c1f7faba65471d8029f38e84bd2cfbab612.jpg
348,Des terrains titre foncier individuel à vendre,150 m²,Kounoune Dakar,11 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/52f059931830d26e06a8f7c9fe7ccc59/-/horizon-files-prod/ed/picture/qxjpd4m8/06cf6abb57d5fc63ee4546e0584a29e0e2e7de80.jpg
349,Parcelle avec construction à vendre pointe sarene,450 m²,Pointe Sarene Thiès,22 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/82d772c07bd2ea996f4e4246fc66eb15/-/horizon-files-prod/ed/picture/qenvxw8k/5970d71127e1079e5a3a5d4928c2803f16edd622.jpg
350,Terrain à vendre,150 m²,Keur moussa Thiès,4 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7667739c98639322a77ea7065a6635d4/-/horizon-files-prod/ed/picture/q56dn9x0/af69a185cfbbf8ef748434a6d39dde4c5b029673.jpg
351,Terrain à vendre à Pallo (Thies) paiement moratoire possible,225 m²,Thiès Thiès,500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e067f290dd1778e61844ee263791d526/-/horizon-files-prod/ed/picture/qwepnrj4/3e045e9e45e8e956f640e54e626e7567e3b5432a.jpg
352,Terrain à Nord Sen Iran Thies payable sur 20 mois,225 m²,Thiès Thiès,1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a2d37cfdcd31555ebe50831a67aa9db/-/horizon-files-prod/ed/picture/q44n666e/486aaaa190e912b6a18728759baebd46a0fcda19.jpg
353,Station à vendre à yarakh,"20,000 m²",Sicap Sacré-cœur Dakar,1 500 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b497bddb76059d716fbfde6e9d763dcd/-/horizon-files-prod/ed/picture/qngpv7k9/fbfe6f0103089daf1cf3cb92c37c2a5863f0294e.jpg
354,TERRAIN DE 18.000 m2 CLÔTURÉ À VENDRE | POPENGUINE,"18,000 m²",Popenguine Thiès,290 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a6abf0027a5a95e302d1bdd45c6ae00/-/horizon-files-prod/ed/picture/qq4298zv/562dd85fb3afc2b3089ed18876d6bc289716211c.jpg
355,Terrain à vendre,156 m²,Kounoune Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/67b87059e14c65f85c5e87537e1ccc5b/-/horizon-files-prod/ed/picture/q8v4kex0/11fd4215561879a8f2e7c5e79a9ec1e0924564f6.jpg
356,Terrain à vendre pied dans l’eau,"1,095 m²",Virage Dakar,985 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/455d6b0e58f6aa306da5f239ffbb35fb/-/horizon-files-prod/ed/picture/qde7040w/3704b5acbada557b7d576953f316403e285b18cb.jpg
357,Terrains à vendre à Niakoulrab - Titre foncier individuel,150 m²,Niakoul rap Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eaa53f21d44cfe0a866c9836e27cad32/-/horizon-files-prod/ed/picture/qv4w09w5/a180db34840175c362f9da6897291c8d3ca6f492.png
358,Opportunité à saisir,180 m²,Thiès Thiès,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e29ab7627556bc6ee8dc29c834d7c7d/-/horizon-files-prod/ed/picture/qwepxkmz/599b387dc75dd84da1dc54c4ce56dd5e147251f8.jpg
359,TF à vendre à la Cité Maniang à Kounoune payable 24 mois,150 m²,Kounoune Dakar,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7f426477772f62be0bcec590607c1a7/-/horizon-files-prod/ed/picture/q0g7k6xk/ac16ecd858f5ac9b4ba6dc5c669c32e9c4f9d33d.jpg
360,"Champs de 3,9 ha à vendre à Pout Tf individuel","39,000 m²",Grand-Dakar Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2cb960aa4cec643ffde7c1071a5c5f01/-/horizon-files-prod/ed/picture/qxj24dgm/3f91ce50df3821d99506522bb9722f9e07172094.jpg
361,Terrain 150m2 keur massar,150 m²,Keur Massar Dakar,19 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5245cae7edbe8f795f81473c6407369/-/horizon-files-prod/ed/picture/q44np0ke/5432fe81e51d9f47b904b45fc52b59ed6b915e86.jpg
362,Terrain 150m2 a keur Massar,150 m²,Keur Massar Dakar,18 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ff92e29e75e416d6db6b323b5ee085a/-/horizon-files-prod/ed/picture/qv4w58jg/5b2ad28065d1520bbe1a8569a830b8044675e1b1.jpg
363,Terrain à Vendre à Toubab Dialaw,300 m²,Toubab dialo Dakar,25 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9074f79a748fa23f56a0c910aeaa1c64/-/horizon-files-prod/ed/picture/q2j09g0d/d8a683fde36eeb723ccc43813e1c654a609e1530.jpg
364,Terrain à vendre à Ngaparou,"1,000 m²",Ngaparou Thiès,130 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f8f2f895b2a173a19ad26467672f3ff/-/horizon-files-prod/ed/picture/qpdmr654/3553c750a9fc27bd67e3c824bef3f274f229b53d.jpg
365,Terrains à vendre à kounoune,150 m²,Kounoune Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f733bec54bf4b31f07367f2258859e26/-/horizon-files-prod/ed/picture/qde7q47m/46c9f639dd7d862dba91f4a45542c78ebc1b6121.jpg
366,Terrain à vendre,150 m²,Keur Massar Dakar,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62325e938fd5428e4bceb1046c0aa951/-/horizon-files-prod/ed/picture/qv4w0ejg/c34711374f391f609281bfd6d5ea64c7fd0adfca.jpg
367,Nguerigne Terrain à vendre,,Almadies Dakar,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01bcf0e3c577204bd8cf0cf492e955d5/-/horizon-files-prod/ed/picture/qngpv2ex/c80cd89fd89971f08b074e7e29dd62f1ad6c1702.jpg
368,Hectare à vendre à Mboro,"10,000 m²",Mboro Thiès,2 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b872167be5e6262c6b394f00c4ba6080/-/horizon-files-prod/ed/picture/q6x60q7j/f1ee3f5218b133af861f4bbc9ac7d7e6e9106e64.jpg
369,Terrains à vendre,662 m²,Ndiakhirate Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0a8fb5b11fa9410ae602ef17246d060/-/horizon-files-prod/ed/picture/qngpvwge/edeb8ef9250735e2eb541c643261b9d5a06b8210.jpg
